year,code,title,genre,directors,actors,story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,66037,나의 판타스틱 데뷔작,코미디, 드라마, 가족,가스 제닝스,빌 밀너, 윌 폴터, 쥴 시트럭,80년대 영국의 한 마을, 남몰래 혼자 그림을 그리며 외로움을 달래던 윌은 마을의 최고 악동 리를 만나면서 새로운 세상을 경험하게 된다. 말썽부리는 것이 일상이었던 리는 윌에게 영화를 만들자고 제안하게 되고, 윌의 그림 소재였던 ‘람보의 아들’로 그들만의 영화 만들기 프로젝트는 시작된다. 주연에서 촬영, 소품, 미술과 엑스트라까지 모든 것을 단 둘이 해야 하는 초특급 프로젝트 ‘람보의 아들’하지만 제작이 진행되며 일어나는 갖가지 에피소드들로 둘의 사이는 삐걱대게 되는데… 과연 이들의 영화는 완성될 수 있을까? 그리고 윌과 리는 우정을 되찾을 수 있을까?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,67294,나인,뮤지컬, 멜로/로맨스, 드라마,롭 마샬,다니엘 데이 루이스, 마리옹 꼬띠아르, 니콜 키드먼,희대의 카사노바이자, 천재 영화 감독인 ‘귀도’는 자신의 아홉 번째 작품을 준비하던 중 머리를 식히기 위해 홀로 휴양 스파를 찾는다. 한숨 돌리며 작품을 구상하려 했지만, 아름다운 여배우 ‘클라우디아’와 유일한 안식처인 아내 ‘루이사’, 그리고 치명적인 매력의 요염한 정부 ‘칼라’를 비롯한 일곱 여인들의 아찔한 유혹에 빠지게 된다. 그러나 그녀들로부터 점점 작품에 대한 특별한 영감을 얻게 되고, ‘귀도’는 창작의 욕구가 되살아 나기 시작하는데… 과연 귀도는 세기 최고의 작품을 성공해 낼 수 있을 것인가? 그리고 그의 마음을 사로잡을 단 한 명의 여인은 누가 될 것인가?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,101908,나츠메 우인장 2기,애니메이션,오모리 타카히로,,애니메이션 '나츠메 우인장'의 속편.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,71902,낙원-파라다이스,멜로/로맨스, 드라마,이장수,지진희, 김하늘,교도소에서 나와 세상의 모든 것이 낯선 여자. 그녀가 우연히 향한 지상 최후의 낙원이라는 곳에서 새롭게 만난 사람들과 서로의 상처를 치유해가는 이야기. 이제 막 교도소에서 나와 세상의 모든 것이 낯설기만 한 여자 `미경`. 반겨줄 가족도 돌아갈 집도 없는 그녀는 무작정 따뜻한 남쪽으로 가는 기차에 올라타고, 우연히 아름다운 섬 하나도의 광고 전단지를 보게 된다. 햇살이 가득한 초원과 울창한 나무가 있는 사진 위로 `지상 최후의 낙원`이라는 문구에 시선을 빼앗긴 그녀. 망설임 없이 하나도로 향하지만 눈 앞에 펼쳐진 것은 `낙원`과는 거리가 먼 쓸쓸한 풍경뿐이다. 실망을 접고 `이유리`라는 이름으로 하나도의 초등학교 급식소에서 일을 시작한 미경. 그곳에서 호의적이고 순수한 초등학교 교사 `일호`와 낯선 남자를 집으로 들이는 엄마를 원망하며 숲속에만 틀어 박힌 아이 `화란`, 그리고 늘 같은 음악을 들으며 슬픈 추억에 잠기는 괴팍한 성격의 여자 `아람`을 만난다. 교도소에 가야 했던 자신의 과거와 놀랍도록 닮은 화란과는 친구가 되고, 그녀의 비밀을 알면서도 따뜻하게 다가오는 일호에게 조금씩 마음을 열어가는 미경. 과연 그녀는 과거의 상처를 잊고 진정한 파라다이스를 찾을 수 있을까?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,71508,낙타는 말했다,드라마,조규장,김낙형, 김현주, 박채익,감옥에서 출소 후 고향으로 돌아온 영광. 어머니는 돌아가셨고 형제들은 그의 방문을 반기지 않는 눈치다. 어머니가 남긴 제 몫의 유산으로 재개발 예정 지역에 땅을 사고 과부도 만난 영광은 새로운 삶을 꿈꾸지만, 툭하면 제멋대로 깽판치기 일쑤인 성격 탓에 하는 일마다 번번이 꼬이고 만다. 그러던 중 아내가 바람을 피운다는 소문이 들리고, 철석같이 믿고 있던 재개발 사업마저 취소될 위기에 놓이는데…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,51762,날아라 펭귄,드라마,임순례,문소리, 박원상, 손병호,9살 승윤의 교육을 위해 최선을 다하고 싶은 승윤엄마, 또래의 다른 아이들을 보면 어쩌면 승윤이를 지금 보다 더 많은 학원에 보내야 하는 게 아닌가 고민된다. 아직 어린 아들을 지나치게 몰아세우는 아내가 못마땅한 승윤아빠도 가끔씩 승윤이와 놀아주는 것 외에는 특별한 방법이 없는 현실이 갑갑하다. 채식인에 술은 입에도 못 대는 신입사원 주훈에게 자신을 유별나다고 생각하는 선배들과의 회사생활은 그리 만만치 않다. 화끈한 성격으로 선배들과 잘 어울리던 주훈의 입사동기, 미선도 회사복도에서 흡연을 들킨 이후 선배들과의 관계가 예전 같지 않다. 아이들과 아내 없는 일상이 서글프지만 그들을 위해 쓸쓸히 빈집을 지키는 기러기 아빠 권과장. 가끔은 너무 외롭기도 하지만 우연히 만난 딸의 친구로부터 부럽다는 말을 들으면, 아이들을 위해 자신이 더 참아야 한다고 생각하며 오늘도 힘을 낸다. 늦은 나이 큰 용기를 가지고 운전면허를 따온 날, 차를 팔아버린 남편을 보며 더 이상 권위적이기만한 남편을 받아들일 수 없다고 결심한 송여사. 그녀의 이혼요구에 당황스럽고 또 혼자 살아갈 일이 걱정도 되는 권선생. 그렇다고 50년 넘게 지켜온 자존심을 쉽게 꺾을 수는 없다. 우리 주위에서 쉽게 볼 수 있는 인물들의 이야기를 공감할 수 있게 그려내며, 차이를 다름으로 인정할 수 있는 사회를 소망하는 영화 &amp;lt날아라 펭귄&amp;gt은 우리 모두의 오늘의 문제를 따스한 시선과 유쾌한 웃음으로 그려낸다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,52415,남자 이야기,드라마,윤성식,박용하, 김강우, 박시연,‘돈’이 지배하는 정글 같은 세상과 맞짱을 뜨는 남자와 그 세상을 가지려는 악마성을 지닌 천재의 대결을 그린 드라마.  들어가는 회사마다 석 달을 못 버티는 천상 백수 김신(박용하 분)은 형이 운영하는 자그마한 만두공장에서 용돈벌이나 하면서 살고 있다. 그러던 어느 날 형이 만든 만두가 쓰레기 만두라는 보도가 나오면서 풍족하진 않았지만 행복했던 그의 일상이 일그러지기 시작한다. 조사 끝에 오보였음이 밝혀지지만 이미 만두 공장은 손 쓸 수 없는 상태. 부도를 막아보려 사채까지 끌어다 쓴 형 김욱(안내상 분)은 설상가상 교통사고로 운명을 달리 한다. 억울함과 형을 잃은 슬픔에 겨운 김신은 형을 죽음으로까지 몰고 간 기자에게 복수를 하기 위해 방송국을 찾아가는데..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,49637,낮술,드라마, 코미디,노영석,송삼동,실연당한 혁진을 위로하기 위해 시작된 술자리. 친구들은 술기운에 내일 당장 강원도 정선으로 여행을 떠나자고 의견을 모은다. 하지만 다음날, 터미널에 도착한 멤버는 달랑 혁진 뿐. 술에 뻗은 친구들 때문에 시작부터 꼬여버린 혁진의 여행길은 험난하기만 하다. 그러나 그에게도 행운은 찾아오는 것일까? 힘들게 도착한 펜션에서 혁진은 '고맙게 생긴' 미모의 옆방녀를 발견하고, 때마침 그녀도 혁진에게 술을 사달라 조르며 은근히 유혹하는데…. 과연 혁진의 정선 로맨스는 성공할 수 있을까?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,69972,낯선 곳 낯선 시간,드라마,김영혜,김지완, 조하나, 정종빈,제1화 &amp;lt가을소풍&amp;gt. 초등학생 상우가 손꼽아 기다리던 가을소풍 전날, 지리산에 간 아버지가 돌아오지 않는다. 아버지를 찾아와야만 소풍을 갈 수 있다고 판단한 상우는 새벽 일찍 아무도 몰래 집을 빠져 나와 아버지를 찾아 무작정 지리산으로 향한다. 지치고 목마른 상우는 인적이 드문 어느 마을 무당집에 들러 홀로 빈 집을 지키고 있는 소녀에게 물을 청하는데, 상우의 사정을 듣고 소녀는 자기가 상우의 아버지를 찾아줄 수 있다고 장담한다. 어머니의 무복을 입고 상우 앞에 나타난 소녀는 서투른 솜씨로 어머니의 흉내를 내며 상우에게 굿을 베풀어준다. 소녀는 헤어지면서 아버지에게 줄 선물로 상우에게 붉은 깃털을 건네준다. 엄마와 형의 손에 이끌려 집으로 돌아오는 상우는 이미 훌쩍 성숙해 있다.  제2화 &amp;lt소나기&amp;gt. 막 제대를 하고 돌아와 대학 졸업반이 된 상우는 빈한한 자취방에 살고 있는데, 이미 커리어우먼이 된 여자 친구로부터 절교선언을 듣는다. 분노와 좌절감에 차 밤거리를 헤매던 상우는 어두운 전주천변에 내려가 혼자 술을 마시다가 물속에서 허우적대는 젊은 여자를 발견하고 건져낸다. 자기도 모르게 여자의 젖은 몸을 훔쳐보던 상우는 여자가 갑자기 눈을 뜨자 몹시 당황한다. 그러나 여자는 의외로 상우를 따뜻이 안아주고, 두 사람은 쏟아지는 달빛 아래에서 정사를 나눈다. 다음날 아침 숙취에서 깨어난 상우는 바짓가랑이에 피가 묻어 있는 것을 발견하고는 다시 그 장소에 가본다. 그러나 천변에는 아무런 흔적도  남아 있지 않다. 돌아오는 길에 굿판이 벌어지는 집에 들어가 구경을 하고 섰던 상우는 어젯밤의 여자를 닮은 여자가 얼핏 지나가는 것을 보고 따라가 보지만 찾지 못한다. 문득 소나기가 쏟아지고, 상우는 붉은 배롱나무 아래에 기대어 운다.  제3화 &amp;lt길&amp;gt. 상우는 이제 이미 자리를 잡은 중견 공연예술감독이다. 여름 밤의 산조 페스티발을 준비하던 그는 살풀이 춤을 추기로 한 사람이 갑작스럽게 못 온다는 전갈을 받는다. 형으로부터 아버지가 위독하다는 전화가 오지만 상우는 무시하고 안면이 있는 살풀이 춤 보유자를 찾아 급히 지리산으로 떠난다. 밤이 되어서야 깊은 산속의 외딴집에 당도한 상우는 당사자인줄로만 알고 있던 여자로부터 자신은 상우가 찾는 여자가 아니며, 지금 공연보다 더 급한 일이 있지 않느냐는 황당한 말을 듣는다. 화가 난 상우는 차 안에서 밤을 새운다. 상우는 꿈속에서 삼십년 전 아버지가 지리산에서 돌아오지 않았던 날, 사실은 수몰지에서 자살을 시도 하려 했다는 꿈을 꾼다. 다음날 아침, 잠에서 깬 상우는 급히 집안으로 들어가 본다. 오랫동안 사람이 살지 않은 것처럼 이상하게 집은 텅 비어 있다. 집안을 둘러보던 상우는 물안개가 피어 오르는 언덕 아래를 내려다본다. 거기에는 산자락 사이에 커다란 호수가 자리잡고 있고 상우는 그것이 바로 자기가 꿈속에서 본 수몰지임을 깨닫는다. 상우는 불현듯 아버지를 생각해내고 시골집을 향해 전속력으로 차를 몬다. 그러나 상우 집에는 이미 아버지의 죽음을 알리는 근조등이 걸려 있다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,65089,내 남자는 바람둥이,멜로/로맨스, 코미디,마크 클라인,사라 미셀 겔러, 알렉 볼드윈,진정한 편집자로 성공하기를 바라는 20대의 편집 보조인 브렛 아이젠버그는 자신의 꿈을 위해 한 출판 기념회에서 거물급 편집장인 50대의 이혼남 아치 녹스를 우연히 만나게되면서... 가까운 사이가 되고 일하는부분에 있어서 아치의 도움을 받게되지만 그가 알고 있던 여인들은 한둘이 아니였고...자신이 자꾸만 그에게 의존하는 것같은 생각을 떨쳐버릴수가 없는데... (mrsleep@naver.com),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,65007,내 남자의 아내도 좋아,멜로/로맨스, 코미디, 드라마,우디 앨런,하비에르 바르뎀, 페넬로페 크루즈, 스칼릿 조핸슨,로맨스라면 고통도 달콤하다고 느낄 정도로 사랑 앞에 용감한 크리스티나(스칼렛 요한슨)와 로맨틱한 낭만보다는 이성이 앞서는 지적인 현실주의자 비키(레베카 홀). 가장 친한 친구이지만, 사랑에 관해서는 완전히 상반된 생각을 가지고 있는 두 사람은 바르셀로나로 휴가를 떠난다.  달콤한 지중해의 바르셀로나에서 휴가를 즐기던 두 사람은 우연히 매력적인 화가 후안 안토니오(하비에르 바르뎀)를 만나게 되고, 그의 노골적인 유혹에 강하게 거부하는 비키와 달리 크리스티나는 후안에게 묘한 매력을 느낀다.  하지만 얘기치 않은 순간에 비키 마저 후안에게 빠져들지만, 예정된 결혼을 위해 바르셀로나를 떠난다. 그리고 바르셀로나에 남게 된 크리스티나와 후안이 둘 만의 사랑을 나누던 어느 날, 후안의 전처 마리아(페넬로페 크루즈)가 둘 사이에 나타난다. 그들의 불안정한 동거생활도 잠시, 어느새 가까워진 마리아와 크리스티나는 사랑을 나누게 되는데…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,71588,내 눈에 콩깍지,멜로/로맨스, 코미디,이장수,이지아, 강지환,잘생긴 외모와 능력을 갖춘 세계적인 건축가 ‘강태풍’. 어느 날 교통사고를 당하고, 후유증으로 ‘일시적 시각장애’를 진단 받는다. 즉, 추녀와 미녀를 구분하지 못하는 것. 그때 그의 눈앞에 아름다운 여인 ‘왕소중’이 나타나고, 태풍은 그녀에게 첫 눈에 반한다. 하지만 실제 그녀는 외모적으로 결점 많은 동물 잡지사 기자. 태풍의 증세를 알 리 없는 소중은 난생 처음으로 겪어보는 완벽남의 대쉬에 당황하면서도, 운명 같은 그의 매력에 푹 빠져든다. 그렇게 사랑을 키워가던 어.느.날! 소중이 출장을 떠난 사이 태풍의 후유증은 자연스레 완쾌된다! 이 사실을 모른 채 설레는 마음으로 태풍을 기다리는 소중. 그러나 태풍은 바로 눈 앞에 그녀를 두고도 전혀 알아보지 못하는데..!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,51076,내 사랑 내 곁에,드라마,박진표,하지원, 김명민,몸이 조금씩 마비되어가는 루게릭병을 앓고 있는 종우(김명민). 유일한 혈육인 어머니마저 돌아가시던 날, 종우는 어린 시절 한 동네에서 자란 장례지도사 지수(하지원)와 운명처럼 재회하고 사랑에 빠진다. 1년 뒤 결혼식을 올린 두 사람의 신혼보금자리는 바로 병원. 종우는 숟가락 하나 손에 쥐는 것도 힘겨운 처지지만 늘 곁을 지켜주는 아내 지수가 있어 어느 때보다 행복하고, 누구보다 투병의지가 강하다.  전신마비나 식물인간 상태의 중환자들이 모인 6인실 병동. 비슷한 아픔을 지닌 병동 식구들과 서로 격려하고 위로 받으며 지내는 사이 회복세를 보이는 환자도 수술의 희망을 찾게 된 환자도 하나 둘 생겨난다. 그러나 종우의 상태는 점점 나빠져만 가고, 병을 쿨하게 받아들이고 투병의지를 불태우던 종우도 하루하루 변해가는 자신의 몸을 지켜보는 게 점점 더 두려워진다. 그리고 마침내, 그토록 피하고 싶었던 언어장애가 시작되는데…….,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,51211,내 이름은 블루버거,코미디, 드라마,캐시 랜들,다니엘 카탄자리티, 케이샤 캐슬-휴즈, 토니 콜렛,부유하지만 보수적인 유대교 집안에서 자라난 에스더 블루버거는 성년식을 앞두고 집을 뛰쳐나온다. 친구 써니, 쿨한 싱글맘 메리와 어울리며 에스더는 새로운 삶을 꿈꾸고, 스웨덴에서 온 교환학생으로 가장해 써니가 다니는 공립학교에 위장 입학한다. 유쾌한 OST와 함께 펼쳐지는 13살 소녀의 진정한 자아 찾기.  2008 베를린국제영화제 제너레이션섹션 초청작 수상.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,52499,내조의 여왕,,고동선, 김민식,김남주, 오지호, 이혜영,학창 시절, 뛰어난 미모로 일대 남학생들을 사로잡던 천지애, 신데렐라를 꿈꾸며 서울대 의대 재학중인 온달수를 잡아 결혼을 했건만 우유부단, 의지박약한 남편은 해부학강의 시간마다 졸도해 결국 학교를 중퇴, 현재 멘실모(멘사 출신 실업자 모임) 회원이다. 여고 동창생들을 만나 창피만 톡톡히 보고 집에 돌아온 지애는 멘실모 회원들이 포커를 치고 있는 걸 보고 달수에게 이혼을 요구한다. 그러나 뒷날 달수는 넥타이를 매며 퀸즈푸드 기획실 직원을 비공개 추천으로 뽑는다며 서류를 제출하러 간다고 하는데........,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,71212,너와 나의 21세기,드라마,류형기,한수연, 이환, 신현호,수영은 이제 곧 지긋지긋한 마트 아르바이트를 그만둘 것이다. 지방흡입수술 비용을 거의 다 마련했기 때문이다. 그러나 동거남 상일이 그녀의 수술비를 가지고 잠적하게 되고 마트의 물건을 빼돌린 사실마저 발각되자 수영은 궁지에 몰린다. 결국 수영은 돈을 구하기 위해 마트에 상주하던 카드깡 업자 재범을 찾아간다. 남자 친구로부터 배신을 당한 그녀 앞에 사채업을 하는 새로운 남자가 등장한다. 그녀 역시 돈이 필요한 상태. 이 작품은 88만원 세대의 풍경인 동시에 자본주의 뒤에 도사리고 있는 좌절된 청춘의 모습을 그려내고 있다. 암울한 듯 하면서도 쿨하게 묘사하는 교차적인 태도가 21세기의 정신을 구현하고 있다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,90572,네 마음을 보여줘,,이창규, 박란영, 김재민,이재용, 박정아,바쁘게 돌아가는 일상 속 수많은 좌절과 스트레스에 시달리는 현대인. 우리가 미처 알지 못했던 수만 가지 모습을 가진 마음의 베일을 벗긴다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,50681,노잉,드라마, 미스터리, SF, 스릴러,알렉스 프로야스,니콜라스 케이지,1959년, 미국의 한 초등학교. 아이들이 그린 미래의 모습이 타임캡슐에 담긴다. 그로부터 50년 후인 2009년. 타임캡슐 속에서 알 수 없는 숫자들이 가득 쓰여진 종이를 발견한 캘럽은 그 종이를 MIT 교수인 아버지 테드(니콜라스 케이지 분)에게 전해준다. 종이에 적힌 숫자들이 지난 50년간 일어났던 재앙을 예고하는 숫자였음을 알게 된 테드는 아직 일어나지 않은 사고를 막기 위해 필사적인 사투를 벌이기 시작하는데…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,53286,녹색마차,드라마,김진근,송선미, 정성환, 류태준,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,51918,뉴 문,판타지, 멜로/로맨스, 드라마, 스릴러,크리스 웨이츠,크리스틴 스튜어트, 로버트 패틴슨,초능력을 가진 뱀파이어 에드워드는 인간 벨라가 자신 때문에 위험해지자 냉정하게 그녀를 떠난다. 이제 벨라를 지키는 것은 오랜 친구 제이콥. 하지만 제이콥은 뱀파이어와 적을 이루는 늑대인간 ‘퀼렛족’의 일원으로 벨라와 에드워드를 떼어놓고자 한다.  그러던 어느 날 벨라는 자신이 위험한 사고를 당할 때마다 에드워드의 환영이 보인다는 것을 알고 급기야 절벽에서 떨어지는 무모한 행동을 한다. 그리고 이 사건은 누구도 예상치 못할 결과를 초래하는데…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,51449,뉴욕 아이 러브 유,드라마, 멜로/로맨스,알렌 휴즈, 브렛 래트너, 파티 아킨,브래들리 쿠퍼, 샤이아 라보프, 나탈리 포트만,당신은 어떤 사랑을 꿈꾸고 있습니까? 영원히 잠들지 않는 도시, 사랑을 품고 사는 도시 뉴욕… 그곳에서 지금 세상에서 가장 달콤한 러브스토리가 시작된다! ♥ “그를 위해선 삭발도 오케이!” 화끈걸의 연애스타일_나탈리 포트만. 결혼을 앞두고 있는 남자친구가 독실한 유대교도! 삭발을 해야 하는 상황에 놓인 그녀, 진실하고 완벽한 사랑을 위해 과감히 머리를 자를 수 있을까? ♥ “폰팅으로 만나 프로포즈까지” 순정남의 연애스타일_올랜도 블룸. 영화음악 작곡가인 그는 요즘 전화로 만난 얼굴 모르는 여자에게 푹 빠져있다! 매일 핸드폰 너머 끊임없이 이어지는 그의 능청스런 구애작전은 과연 성공할까?      ♥ “레이더에 걸린 그녀, 일단 접수!” 적극남의 연애스타일_에단 호크. 뉴욕 스트리트에서 첫눈에 반한 그녀에게 능청스러운 멘트와 야한 농담으로 끈질기게 작업을 거는 그! 하지만 그녀에게서 돌아오는 의외의 대답, 대체 그녀의 정체는? ♥ “일과 사랑, 모두 가질 거야!” 알파걸의 연애스타일_크리스티나 리치. 스크립터로서 자신의 일에 열정 충만한 그녀에게 강적이 나타났다! 일을 핑계로 계속 들이대는 그 남자가 왠지 밉지 않지만, 일과 사랑 두 마리 토끼 모두 잡을 수 있을까? ♥ “사랑의 교감에 나이는 상관없어!” 연하남의 연애스타일_샤이아 라보프. 뉴욕 맨하튼의 호텔 벨보이로 일하는 그에게 어느날 프랑스의 유명 여가수가 찾아온다! 잠깐의 대화로 강한 끌림을 느끼는데, 나이를 뛰어넘은 그들의 사랑은 가능할까? 올 가을, 자신만의 스타일로 가장 로맨틱한 해피엔딩을 꿈꾸는 뉴요커들이 새로운 사랑에 빠진다!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,61632,뉴욕은 언제나 사랑 중,멜로/로맨스, 코미디,그리핀 던,우마 서먼, 제프리 딘 모건, 콜린 퍼스,재치만점의 사랑상담으로 최고의 인기를 구가하고 있는 연애 박사 엠마 로이드(우마 서먼)는 빵빵한 재력에 다정다감하기까지 한 로맨티스트 리처드(콜린 퍼스)를 약혼자로 둔 뉴욕 최고의 셀러브리티. 모두가 부러워하는 그녀에게 말 못할 엄청난 러브 태클이 찾아왔으니, 서류 상에선 그녀가 이미 결혼한 몸이란 것! 해피 웨딩을 목전에 두고 터진 난감한 상황을 해결하기 위해, 엠마는 의문의 신랑을 찾아 나서고 그 배후에는 상상도 못한 비밀이 숨겨져 있는데! 뉴욕 최고의 연애박사도 두 손든 블록버스터급 러브 태클! 과연 엠마와 리처드는 무사히 해피 웨딩에 골인할 수 있을까?!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,47036,닌자 어쌔신,액션, 범죄, 드라마, 스릴러,제임스 맥티그,정지훈,거리의 고아였던 라이조(비)는 베일에 싸인 비밀 조직 '오주누파'에게 거둬져 훈련을 받고 세계 최고의 인간 병기로 키워진다. 어느 날 조직에 의해 친구가 무자비하게 처형된 것을 목격하고 조직을 뛰쳐나온 그는 행방을 감춘 채 조용히 복수를 준비한다. 한편 베를린에서는 정체불명의 조직에 의한 정치적 암살사건을 추적하던 유로폴 요원 미카(나오미 해리스)가 일급비밀 문서를 손에 넣게 되고, 그로 인해 라이조의 라이벌인 타케시(릭윤)가 이끄는 '오주누파' 암살단의 표적이 된다. 우연히 쫓기는 미카를 구해낸 라이조는 조직이 두 사람을 결코 포기하지 않을 것임을 깨닫고, 이제야 결전의 때가 되었음을 느끼게 된다. 유럽 전역을 무대로 펼쳐지는 쫓고 쫓기는 추격전 속에서 라이조와 미카는 살기 위해, '오주누파'를 끝장내기 위해 서로를 믿고 의지해야만 한다!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,46849,다 큰 여자들,드라마,토미나가 마사노리,오다 에리카, 모노우 아키코, 미즈하시 켄지,주부잡지 편집부 기자 치아키(29). 비범한 카리스마, 일 잘 하기로 소문난 그녀이지만 현재 일에 파묻혀 자신의 삶이라곤 전혀 없는 일상을 보내고 있다. “결혼이 여자의 행복”이라는 말이 짜증 나지만, 외로움은 좀 떨쳐버리고 싶고 마사미의 딸 후카처럼 귀여운 아가도 있으면 좋겠다. 후카 엄마이자 치아키의 과거 직장동료 마사미(29). 결혼 5년차 주부 마사미는 주부잡지에 딱 어울리는 모범주부처럼 보인다. 그러나 실상은, 무신경한 남편과 이제 4살이 되는 아이 돌보는 일에 지쳐 있는 상태. 그러던 중, 치아키가 아무 말 없이 어디론가 사라져버리고, 마사미는 행방불명된 치아키 대신 직장에 복귀, 딸 후카를 방치한 채 일에 몰두한다. 심지어 치아키의 빈집을 드나들며 작업실로 사용하기 시작하는데……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
